mmsi_a,mmsi_b,name_a,name_b,time_a,time_b,collision_time,lat_a,lon_a,lat_b,lon_b,collision_lat,collision_lon,sog_a,sog_b,cog_a,cog_b,length_m_a,length_m_b,time_delta_seconds,distance_nm
265547110,265695200,RESCUE SJOMANSHUSET,RESCUE PANTAMERA,2021-12-16T08:40:32.000Z,2021-12-16T08:39:37.000Z,2021-12-16T08:40:04.000Z,55.575317,14.353847,55.57543,14.353818,55.5753735,14.3538325,1.8,2.6,172.3,96.6,12.0,8.0,55,0.006855604251493745
265732730,309584000,PILOT 218 SE,SWEDICA HAV,2021-12-17T15:08:39.000Z,2021-12-17T15:08:01.000Z,2021-12-17T15:08:20.000Z,56.022862,14.577647,56.022765,14.57776,56.0228135,14.5777035,7.5,7.8,205.1,205.1,16.0,82.0,38,0.0069494365337551
265016790,265759020,RESCUE PATRIK DAHL,RESCUE B JARLEBRING,2021-12-13T17:35:10.000Z,2021-12-13T17:34:39.000Z,2021-12-13T17:34:54.000Z,55.675763,13.05862,55.675667,13.0585,55.675715,13.05856,1.4,1.7,14.9,287.9,4.0,11.0,31,0.0070517695662869985
265016790,265759020,RESCUE PATRIK DAHL,RESCUE B JARLEBRING,2021-12-13T17:34:08.000Z,2021-12-13T17:34:39.000Z,2021-12-13T17:34:23.000Z,55.675763,13.05862,55.675667,13.0585,55.675715,13.05856,1.4,1.7,14.9,287.9,4.0,11.0,31,0.0070517695662869985
230053260,265812560,SOUND NEPTUNUS,SOUND SUPPORTER,2021-12-18T08:34:41.000Z,2021-12-18T08:34:17.000Z,2021-12-18T08:34:29.000Z,55.528783,14.368303,55.52889,14.368212,55.5288365,14.368257499999999,5.6,5.1,177.5,177.2,26.0,20.0,24,0.00712986154621666
265016790,265714460,RESCUE PATRIK DAHL,RESCUE FAMOUS,2021-12-13T17:35:10.000Z,2021-12-13T17:34:53.000Z,2021-12-13T17:35:01.000Z,55.675763,13.05862,55.675683,13.058783,55.675723000000005,13.0587015,1.4,1.2,14.9,339.4,4.0,8.0,17,0.007316017624714682
265016790,265714460,RESCUE PATRIK DAHL,RESCUE FAMOUS,2021-12-13T17:34:08.000Z,2021-12-13T17:34:53.000Z,2021-12-13T17:34:30.000Z,55.675763,13.05862,55.675683,13.058783,55.675723000000005,13.0587015,1.4,1.2,14.9,339.4,4.0,8.0,45,0.007316017624714682
230053260,265512660,SOUND NEPTUNUS,SOUND CASTOR,2021-12-17T08:40:08.000Z,2021-12-17T08:40:22.000Z,2021-12-17T08:40:15.000Z,55.904637,14.578663,55.904533,14.578533,55.904585,14.578598,5.8,5.9,223.6,218.5,26.0,17.0,14,0.007624591546270314
246743000,265625700,COASTAL VANGUARD,CHARLIE,2021-12-20T15:20:47.000Z,2021-12-20T15:21:35.000Z,2021-12-20T15:21:11.000Z,55.626495,12.980298,55.626487,12.980528,55.626491,12.980412999999999,3.8,4.0,149.7,160.2,32.0,17.0,48,0.007811314910873321
230053260,265812560,SOUND NEPTUNUS,SOUND SUPPORTER,2021-12-18T09:10:09.000Z,2021-12-18T09:09:57.000Z,2021-12-18T09:10:03.000Z,55.483368,14.322688,55.483485,14.322792,55.4834265,14.32274,5.1,5.2,229.0,229.0,26.0,20.0,12,0.007865499107751913
