mmsi_a,mmsi_b,name_a,name_b,time_a,time_b,collision_time,lat_a,lon_a,lat_b,lon_b,collision_lat,collision_lon,sog_a,sog_b,cog_a,cog_b,length_m_a,length_m_b,time_delta_seconds,distance_nm
265547110,265695200,RESCUE SJOMANSHUSET,RESCUE PANTAMERA,2021-12-16T07:39:13.000Z,2021-12-16T07:40:13.000Z,2021-12-16T07:39:43.000Z,55.57398,14.357722,55.573808,14.35742,55.573893999999996,14.357571,1.7,1.2,357.0,116.1,12.0,8.0,60,0.014550858198835117
265011730,265759020,RESCUE CASQUE,RESCUE B JARLEBRING,2021-12-27T14:26:55.000Z,2021-12-27T14:27:52.000Z,2021-12-27T14:27:23.000Z,55.675088,13.041172,55.675333,13.041167,55.675210500000006,13.041169499999999,1.0,1.2,301.2,278.7,15.0,11.0,57,0.014710886864334416
265547110,265695200,RESCUE SJOMANSHUSET,RESCUE PANTAMERA,2021-12-16T11:15:02.000Z,2021-12-16T11:15:19.000Z,2021-12-16T11:15:10.000Z,55.573875,14.356232,55.573828,14.356665,55.5738515,14.356448499999999,1.4,2.9,246.0,16.4,12.0,8.0,17,0.014965977538767135
219028337,265413000,SVITZER EDDA,SCA OSTRAND,2021-12-05T02:56:56.000Z,2021-12-05T02:56:34.000Z,2021-12-05T02:56:45.000Z,55.63673,12.969272,55.636488,12.969157,55.636609,12.9692145,6.4,6.6,146.6,146.4,30.0,170.0,22,0.015043386507464417
265518160,265586990,PILOT 738 SE,RESCUE SKAARE,2021-12-12T08:53:35.000Z,2021-12-12T08:53:16.000Z,2021-12-12T08:53:25.000Z,55.372232,13.144053,55.372473,13.143932,55.3723525,13.1439925,1.0,1.7,224.5,174.8,17.0,8.0,19,0.015047119950099839
218809000,219028337,KARL ERIK,SVITZER EDDA,2021-12-17T14:40:15.000Z,2021-12-17T14:39:37.000Z,2021-12-17T14:39:56.000Z,55.626,12.981862,55.626045,12.981425,55.6260225,12.9816435,4.3,4.6,143.4,144.2,123.0,30.0,38,0.015057964274413953
265547110,265695200,RESCUE SJOMANSHUSET,RESCUE PANTAMERA,2021-12-16T07:43:42.000Z,2021-12-16T07:43:13.000Z,2021-12-16T07:43:27.000Z,55.57387,14.358202,55.573805,14.35777,55.573837499999996,14.357986,1.4,1.4,131.8,126.9,12.0,8.0,29,0.015174037367608832
265547110,265695200,RESCUE SJOMANSHUSET,RESCUE PANTAMERA,2021-12-16T08:53:33.000Z,2021-12-16T08:53:49.000Z,2021-12-16T08:53:41.000Z,55.575297,14.354037,55.575522,14.353832,55.5754095,14.353934500000001,1.4,1.3,314.5,88.6,12.0,8.0,16,0.01519577474910308
265547110,265695200,RESCUE SJOMANSHUSET,RESCUE PANTAMERA,2021-12-16T07:41:12.000Z,2021-12-16T07:40:13.000Z,2021-12-16T07:40:42.000Z,55.574048,14.357257,55.573808,14.35742,55.573927999999995,14.357338500000001,1.8,1.2,65.2,116.1,12.0,8.0,59,0.015435393829985919
261002520,261018880,DZI-100,DZI-10,2021-12-17T21:23:22.000Z,2021-12-17T21:23:50.000Z,2021-12-17T21:23:36.000Z,54.608547,14.362127,54.608567,14.361682,54.608557000000005,14.3619045,5.7,5.4,166.3,152.7,19.0,16.0,28,0.015520507066196764
